xxxx;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
# 决议;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
introduction_prc_title;漫天花雨·民族解放之花;;;;;;;;;;;;;;x
introduction_prc_desc;欢迎使用漫天花雨MOD。;;;;;;;;;;;;;;x
introduction_chc1_title;漫天花雨·独立自由之花;;;;;;;;;;;;;;x
introduction_chi1_title;漫天花雨·秩序威权之花;;;;;;;;;;;;;;x
introduction_jap1_title;漫天花雨·尚武兴国之花;;;;;;;;;;;;;;x 
introduction_chc_title;漫天花雨·独立自由之花;;;;;;;;;;;;;;x
introduction_chi_title;漫天花雨·秩序威权之花;;;;;;;;;;;;;;x
introduction_jap_title;漫天花雨·尚武兴国之花;;;;;;;;;;;;;;x
introduction_chc_desc;欢迎使用漫天花雨MOD。;;;;;;;;;;;;;;x
introduction_chi_desc;欢迎使用漫天花雨MOD。;;;;;;;;;;;;;;x
introduction_jap_desc;欢迎使用漫天花雨MOD。;;;;;;;;;;;;;;x
introduction_chc1_desc;欢迎使用漫天花雨MOD。;;;;;;;;;;;;;;x
introduction_chi1_desc;欢迎使用漫天花雨MOD。;;;;;;;;;;;;;;x
introduction_jap1_desc;欢迎使用漫天花雨MOD。;;;;;;;;;;;;;;x
independent_MEB_title;成立蒙疆联合自治政府;;;;;;;;;;;;;;x
independent_MEB_desc;关东军司令部与内蒙古的一些要人保持着联系。通过这些乐意的合作者我们可以在这里成立一个政权从而保证此地在我们征服别处时的安宁。;;;;;;;;;;;;;;x
independent_CHB_title;成立中华民国临时政府;;;;;;;;;;;;;;x
independent_CHB_desc;我们需要一个政府帮助我们利用北支那的资源，并维持该地区的稳定。我们要让这个政府绝对排除共产主义，发扬东亚道义。这样日本进步的行政、法制、军事的技术就能够由侧面来指导华北的政治。;;;;;;;;;;;;;;x
independent_CJS_title;成立中华民国维新政府;;;;;;;;;;;;;;x
independent_CJS_desc;支那人仓皇逃窜，如今他们的江苏、浙江、安徽已经基本落入了大日本帝国的手中，让我们建立一个政府来更好的统治这里。;;;;;;;;;;;;;;x
independent_WJW_title;成立新的国民政府;;;;;;;;;;;;;;x
independent_WJW_desc;汪精卫先生愿意同大日本帝国合作，非常好，这说明帝国的政治诱降政策卓有成效，那么，让他来吧，将来我们还要把蒋介石先生请到南京来。;;;;;;;;;;;;;;x
the_north_china_incident_title;平津作战;;;;;;;;;;;;;;x
the_north_china_incident_desc;我们已经做好了战争的万全准备，大日本皇军将取得最后的胜利，昭和天皇将统治全世界！;;;;;;;;;;;;;;x
shanghai_incident_title;进攻上海;;;;;;;;;;;;;;x
shanghai_incident_desc;上海是支那最富有的城市，攻下上海，皇军将享有直接威胁支那首都的战略效果。;;;;;;;;;;;;;;x
china_united_front_action_title;四月密谈，策划抗日民族统一战线;;;;;;;;;;;;;;x
china_united_front_action_desc;1936.4.9，周恩来、张学良在延安天主教堂会见，密谈抗日大计。;;;;;;;;;;;;;;x
china_united_front_title;发布「国共合作宣言」;;;;;;;;;;;;;;x
china_united_front_desc;在上海战局的压迫下，近日，我们的中央通讯社发布了「中国共产党为公布国共合作宣言」，这标志着国共合作的展开。;;;;;;;;;;;;;;x
new_fourth_army_title;八省红军集结，建立陆军新编第四军;;;;;;;;;;;;;;x
new_fourth_army_desc;根据国共之间的协定，南方八省的红军游击队应整编为「国民革命军陆军新编第四军」。如今各游击队已陆续集结，箭在弦上，一触即发。;;;;;;;;;;;;;;x
shanxi_new_army_title;山西新军决死队;;;;;;;;;;;;;;x
shanxi_new_army_desc;日本人来得太快，晋北重镇大同已然沦陷。我们只有借助共产党组织群众的本领，来缓解眼前的灾难。;;;;;;;;;;;;;;x
shandong_chc_army_title;山东人民起义;;;;;;;;;;;;;;x
shandong_chc_army_desc;国民党在山东望风而逃，无数人民沦入敌手。中国共产党应该站出来，独立担起山东抗战的责任。;;;;;;;;;;;;;;x
chc_jinchaji_title;挺进恒山，建立晋察冀军区;;;;;;;;;;;;;;x
chc_jinchaji_desc;按照中央的战略部署，「八路军115师」一部将挺进恒山、五台山脉，放手发动群众，建立新的晋察冀根据地。;;;;;;;;;;;;;;x
chc_jinsui_title;建立晋西北、晋西南根据地;;;;;;;;;;;;;;x
chc_jinsui_desc;按照中央的战略部署，「八路军115师」主力将挺进吕梁山脉，「八路军120师」将挺进管涔山脉，放手发动群众，建立新的根据地。;;;;;;;;;;;;;;x
chc_jinjiyu_title;建立晋冀豫根据地;;;;;;;;;;;;;;x
chc_jinjiyu_desc;按照中央的战略部署，「八路军129师」将挺进晋东南，放手发动群众，建立新的根据地。;;;;;;;;;;;;;;x
chc_jirecha_title;成立冀热察挺进军;;;;;;;;;;;;;;x
chc_jirecha_desc;中央军委决定，以原「第4纵队」组成「冀热察挺进军」，返回冀东开展敌后斗争。;;;;;;;;;;;;;;x
chc_daqingshan_title;建立大青山根据地;;;;;;;;;;;;;;x
chc_daqingshan_desc;毛泽东主席致电朱、彭、贺，指出建立大青山根据地甚为重要，120师遂开始组织「大青山支队」。;;;;;;;;;;;;;;x
chc_jilubian_title;成立东进抗日挺进纵队;;;;;;;;;;;;;;x
chc_jilubian_desc;「115师第5支队」、「129师津浦支队」组成了「八路军东进抗日挺进纵队」，从冀南出发，挺进冀鲁边，扩大冀鲁边根据地。;;;;;;;;;;;;;;x
china_qingnianjun_title;组织青年军;;;;;;;;;;;;;;x
china_qingnianjun_desc;陪都重庆，面临威胁，我们仍然无法驱逐日寇，现在只好组织一支党化新军，以应付当前的时局，将来亦可用于反共。;;;;;;;;;;;;;;x
china_yuanzhengjun_title;呼叫中国远征军;;;;;;;;;;;;;;x
china_yuanzhengjun_desc;我们在缅北战场节节失利，现在只好求救于那些中国人了;;;;;;;;;;;;;;x
ERA_placing_title;八路军主力挺进山西;;;;;;;;;;;;;;x
ERA_placing_desc;八路军如按原计划集结恒山，必将被一网打尽。中央军委已制定出新的战略部署……;;;;;;;;;;;;;;x
northchinapolice_title;北支那治安肃正计划;;;;;;;;;;;;;;x
northchinapolice_desc;近日，北支那派遣军司令官多田骏中将，针对北支那地区的中共匪患，组织制定了「治安肃正纲要」。;;;;;;;;;;;;;;x
baituandazhan_title;百团大战;;;;;;;;;;;;;;x
baituandazhan_desc;国军正面战场堪危，国府抗日立场松动，日军的囚笼政策越来越凶狠，日本的政治诱降攻势越来越放肆，八路军应该不惜一切代价，为民族的存亡奋力一搏！;;;;;;;;;;;;;;x
Chongqing_negotiations_title;重庆谈判;;;;;;;;;;;;;;x
Chongqing_negotiations_desc;国民政府的抗战节节顺利，然而中共也在中国控制了一定范围的政权，天无二日，中国的未来必须有个了断。;;;;;;;;;;;;;;x
Jap_war_rehe_front_title;进占冀东;;;;;;;;;;;;;;x
Jap_war_rehe_front_desc;支那人已经被我们从满洲地区彻底肃清，下一步我们应顺势攻占华北，完成我们的战略意图！;;;;;;;;;;;;;;x
Anti_jap_front_great_wall_title;长城抗战;;;;;;;;;;;;;;x
Anti_jap_front_great_wall_desc;日寇之野心，已然不满足于东北三省。如今大军入关，兵压热河，若仍苟且，重蹈九一八之覆辙，则国家危矣！;;;;;;;;;;;;;;x
Nanking_war_JiangXi_Commist_title;剿匪;;;;;;;;;;;;;;x
Nanking_war_JiangXi_Commist_desc;攘外必先安内，统一方可御侮！;;;;;;;;;;;;;;x
Intagrate_China_GuiZhou_title;编遣黔军;;;;;;;;;;;;;;x
Intagrate_China_GuiZhou_desc;贵州的王家烈在红军的打击下元气大伤，以无法保持其在贵州的统治地位，这正是我们整合贵州军阀势力的好时机。;;;;;;;;;;;;;;x
Postpone_war_ShanXi_Commist_title;立足陕北;;;;;;;;;;;;;;x
Postpone_war_ShanXi_Commist_desc;中央苏区在蒋匪的打击下已经成为过去式，现在我们必须立足于陕北苏区，才能点燃中国革命的燎原之火。;;;;;;;;;;;;;;x
shanghai_incident2_title;进攻上海;;;;;;;;;;;;;;x
shanghai_incident2_desc;上海是支那最富有的城市，攻下上海，皇军将享有直接威胁支那首都的战略效果。;;;;;;;;;;;;;;x
Chinese_Defence_title;空间换时间;;;;;;;;;;;;;;x
Chinese_Defence_desc;政府深知本国之物资、资源、兵力、军火、武器、民心、军队\n士气等都不如日本，如若正面迎敌则很有可能被击败，乃至\n亡国。故我党决定初期以空间换取时间，以争取后\n方制造武器，兵力编排，军事攻守能力，防御战线\n等整体规划，做好迎敌准备。;;;;;;;;;;;;;;x
Chinese_Counterattack_title;正面抗敌;;;;;;;;;;;;;;x
Chinese_Counterattack_desc;日本一次次的挑战我们的底线，这一次我们再也无法容\n忍这种侵略行为。党内的主战派表示他们已经做好了与\n日军正面交锋的准备。;;;;;;;;;;;;;;x
China_CivilWar5_title;通电全国，西康起义;;;;;;;;;;;;;;x
China_CivilWar5_desc;北京毛主席、朱总司令并转各野战军司令暨全国人民公鉴：\n蒋贼介石盗窃国柄廿载于兹，罪恶昭彰，国人共见。自抗战胜利而还，措施益形乖谬，如破坏政协决议各案，发动空前国内战争，紊乱金融财政，促成国民经济破产，嗾使贪污佥壬横行，贻笑邻邦，降低国际地位，种种罪行，变本加厉，徒见国计民生枯萎，国家元气断绝。而蒋贼怙恶不悛，唯利是图。在士无斗志，人尽离心的今天，尚欲以一隅抗天下，把川、康两省八年抗战所残留的生命财产，作孤注之一掷。我两省民众，岂能忍与终古。文辉、锡侯、文华等于过去数年间，虽未能及时团结军民，配合人民解放战争，然亡羊补牢，古有明训，昨非今是，贤者所谅。兹为适应人民要求，决自即日起率领所属宣布与蒋、李、阎、白反动集团断绝关系，竭诚服从中央人民政府毛主席、朱总司令与中国人民解放军第二野战军刘司令员、邓政治委员之领导，所望川、康全体军政人员，一律尽忠职守，保护社会秩序与公私财产，听候人民解放军与人民政府之接收，并努力配合人民解放军消灭国民党反对派之残余，以期川、康全境早获解放。坦白陈词，敬维垂察。;;;;;;;;;;;;;;x
#_title;;;;;;;;;;;;;;x
#_desc;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
# 事件;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
introduction_prc_title;漫天花雨民族解放之花;;;;;;;;;;;;;;x
introduction_prc;在中国共产党的领导下，中国人民经过28年来不屈不挠的抗争，终于推翻了长期盘踞在这片古老而孱弱的国度上的帝国主义、封建主义和官僚资本主义这三座大山，新民主主义革命的胜利果实已然取得。随着1949年10月1日毛泽东主席在天安门城楼上的庄严宣告，一个崭新的中国俨然屹立在世界东方，但是全国的解放尚未完成，中国的西南和台湾仍处于反动派的统治之下；与此同时，和东北一江之隔的朝鲜半岛也战云密布，西方妄图将朝鲜半岛打造为对抗共产主义的前线堡垒.....内忧外患的共和国将如何谱写属于她的历史诗篇？四海翻腾云水怒，五洲震荡风雷激，共产党人永远不会被困难折服，前进，为了党和人民！;;;;;;;;;;;;;;x
introduction_prc_option;让民族解放之花解放全世界！;;;;;;;;;;;;;;x
introduction_chif;北伐战争伊始，蒋介石便拥有了对国民革命军的统治权，在四一二政变、宁汉合流后，声望更是到达了巅峰，东北易帜后，蒋介石的南京政府已经对中国完成了名义上的统一。与此同时，南方愈发强大的中共，早已成为蒋介石的心头之患。面对日本的蚕食，南京方面选择了忍让，签订了一个个丧权辱国的条约，对内则是动用全国之力进行剿匪。如今，由于中共党内的错误，在国民党强大的军事打击、经济封锁下，这支生命力无比顽强的政党似乎覆灭在即。蒋介石，这时候离他的日思夜想的全歼共匪的目标，似乎只差一步之遥了。;;;;;;;;;;;;;;x
