#######################################;;;;;;;;;;;;;;;x
# 决议;;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;;x
JAP_north_China1_title;策动北支那事变;;;;;;;;;;;;;;x
JAP_north_China1_desc;支那为守卫北支，曾不惜两度同帝国开战，如今到了用政治手段蚕食北支那的时候了。;;;;;;;;;;;;;;x
CHI_north_China1_title;成立冀察政务委员会;;;;;;;;;;;;;;x
CHI_north_China1_desc;在日本强大的军事压迫和政治打压下，中央在华北已威权日去，是时候让一个代理人为我们分散华北的压力了。;;;;;;;;;;;;;;x
#_title;;;;;;;;;;;;;;;x
#_desc;;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;;x
# 文本事件;;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;;x
CHI_Event_551_title;国民政府军事委员会组建苏式攻击军;;;;;;;;;;;;;;x
CHI_Event_552_title;国民政府军事委员会组建美式步兵师;;;;;;;;;;;;;;x
CHI_Event_553_title;国民政府军事委员会组建装甲团;;;;;;;;;;;;;;x
CHI_Event_553_decs;自从1933年开启军事改革以来，为学习国外先进技战术经验，国民政府派出徐庭瑶赴海外学习装甲兵技术。徐归国后便主导购买各式国外装甲兵器，建设直属于军委会的装甲兵团。这被看作是国民革命军在机械化作战上的一次尝试。\n不过在战略、战术思维仍停留在一战的中国来说，这支装甲兵部队起到的作用或许并不显著。;;;;;;;;;;;;;;x
CHI_Event_3019_title;中国远征军入缅作战失利;;;;;;;;;;;;;;x
CHI_Event_3019_decs;即使中国政府拿出了最大的决心和勇气决意支援东南亚战局，保护滇缅公路，承担盟国责任。但在英、美、中三方指挥混乱，英国的弃缅保印战略的影响下，入缅作战的远征军面对气焰正盛的日本南方军可谓独木难支，虽取得一定战果，但不免败亡危局。在缅甸失守后，部分远征军撤往印度进行整训，另一部分则翻越野人山回国......;;;;;;;;;;;;;;x
CHI_Event_559_op1;悲乎哀哉;;;;;;;;;;;;;;x
CHI_Event_550_op;又是一支新生力量;;;;;;;;;;;;;;x
The_Migration_Period1title;保存抗战力量，沿海工业内迁;;;;;;;;;;;;;;x
Migration_Period1_desc;随着战火自华北扩散至长江下游，敌军的进攻如潮水般涌向东南沿海。上海、南京、青岛等重要港口城市的炮火连天，工厂烟囱在空袭中被炸断，机器在瓦砾间沉默。昔日的工业中心化为火海，中国的经济命脉危在旦夕。\n国民政府深知这是中国为数不多的工业力量，若是尽数被敌军毁灭，中国抗战将难以为继。在贺国光入川主持大后方建设及国府内迁后勤事宜后，国民政府审时度势，终于决定将沿海重要工业设施和技术人员大规模内迁至内陆腹地，以保存这批宝贵的工业力量，为抗战提供坚实的后勤保障。;;;;;;;;;;;;;;x
The_Migration_Period1op;实业救国！实业救国！;;;;;;;;;;;;;;x
The_Migration_Period2title;日军进犯东南沿海，闽、粤二省工业转移;;;;;;;;;;;;;;x
Migration_Period2_desc;自厦门、福州、广州等东南沿海重镇相继沦陷后，华南的工业已然面临敌寇的直接打击。福建机械制造局、厦门兵工厂、广州铁工厂、珠江沿岸的轻工业——这些原本支撑华南经济的机构，在敌机轰炸与海防紧逼下，随时可能化为废墟。为保存为数不多的抗战有生力量，国民政府决意将华南地区剩余的工厂迁往贵州、云南等大后方。;;;;;;;;;;;;;;x
The_Migration_Period3title;内迁的工厂在大后方重新运转;;;;;;;;;;;;;;x
Migration_Period3_desc;1940年后，随着抗战陷入战略僵持，全国局势趋于稳定，大后方建设颇有成效，从沿海等重要城市内迁的工厂在大后方形成了11个具有规模的工业区。即使由于国民政府的腐败、日军对敌后的轰炸，这11个工业区都相当孱弱，但它们极大程度上保留了中国为数不多的工业根基与战争资本，是持久抗战的物质基础，更是抗战大迁徙的伟大壮举！;;;;;;;;;;;;;;x
The_Migration_Period2op;他们是国家的未来！;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;x
#_desc;;;;;;;;;;;;;;;x
#_option;;;;;;;;;;;;;;;x
